"CallerIPAddress";"Resource";"ResourceGroup";"ResourceId";"ResourceType";"ResultType";"OperationName";"requestUri_s";"ResultSignature";"clientInfo_s";"httpStatusCode_d";"identity_claim_http_schemas_xmlsoap_org_ws_2005_05_identity_claims_upn_s";"Count";"AllowPublicAccess";"IPwhitelist";"VnetRules";"PrivateEndpoint";"ApplicationContact";"AppOwner"
"18.235.30.157";"KV-HK01-EAS-U-ACTQ-VLT01";"RG-HK01-EAS-N-ACTQ-KEYVAULT01";"/SUBSCRIPTIONS/9B491DD6-598E-498C-98A0-D3BBD2290821/RESOURCEGROUPS/RG-HK01-EAS-N-ACTQ-KEYVAULT01/PROVIDERS/MICROSOFT.KEYVAULT/VAULTS/KV-HK01-EAS-U-ACTQ-VLT01";"VAULTS";"Success";"KeyEncrypt";"https://kv-hk01-eas-u-actq-vlt01.vault.azure.net/keys/atlas-uat-key/07cd029b044347b9a98a723dde653ee1/encrypt?api-version=7.0";"OK";"Azure-SDK-For-Java/1.2.6 OS:Linux/3.10.0-1160.71.1.el7.x86_64 MacAddressHash:22d6317829d19624c8cc85022154563cc432ef92b71bcacb4c02a94f9cfccfb0 Java:11.0.16.1 (KeyVaultClientBase, 7.0)";"200";"";"41";"True";"";"";"";"";""
"18.235.30.157";"KV-HK01-EAS-U-ACTQ-VLT01";"RG-HK01-EAS-N-ACTQ-KEYVAULT01";"/SUBSCRIPTIONS/9B491DD6-598E-498C-98A0-D3BBD2290821/RESOURCEGROUPS/RG-HK01-EAS-N-ACTQ-KEYVAULT01/PROVIDERS/MICROSOFT.KEYVAULT/VAULTS/KV-HK01-EAS-U-ACTQ-VLT01";"VAULTS";"Success";"KeyDecrypt";"https://kv-hk01-eas-u-actq-vlt01.vault.azure.net/keys/atlas-uat-key/07cd029b044347b9a98a723dde653ee1/decrypt?api-version=7.0";"OK";"Azure-SDK-For-Java/1.2.6 OS:Linux/3.10.0-1160.71.1.el7.x86_64 MacAddressHash:22d6317829d19624c8cc85022154563cc432ef92b71bcacb4c02a94f9cfccfb0 Java:11.0.16.1 (KeyVaultClientBase, 7.0)";"200";"";"41";"True";"";"";"";"";""
"18.235.30.157";"KV-HK01-EAS-U-ACTQ-VLT01";"RG-HK01-EAS-N-ACTQ-KEYVAULT01";"/SUBSCRIPTIONS/9B491DD6-598E-498C-98A0-D3BBD2290821/RESOURCEGROUPS/RG-HK01-EAS-N-ACTQ-KEYVAULT01/PROVIDERS/MICROSOFT.KEYVAULT/VAULTS/KV-HK01-EAS-U-ACTQ-VLT01";"VAULTS";"Success";"KeyGet";"https://kv-hk01-eas-u-actq-vlt01.vault.azure.net/keys/atlas-uat-key/07cd029b044347b9a98a723dde653ee1?api-version=7.0";"OK";"Azure-SDK-For-Java/1.2.6 OS:Linux/3.10.0-1160.71.1.el7.x86_64 MacAddressHash:22d6317829d19624c8cc85022154563cc432ef92b71bcacb4c02a94f9cfccfb0 Java:11.0.16.1 (KeyVaultClientBase, 7.0)";"200";"";"41";"True";"";"";"";"";""
"18.235.30.157";"KV-HK01-EAS-U-ACTQ-VLT01";"RG-HK01-EAS-N-ACTQ-KEYVAULT01";"/SUBSCRIPTIONS/9B491DD6-598E-498C-98A0-D3BBD2290821/RESOURCEGROUPS/RG-HK01-EAS-N-ACTQ-KEYVAULT01/PROVIDERS/MICROSOFT.KEYVAULT/VAULTS/KV-HK01-EAS-U-ACTQ-VLT01";"VAULTS";"Success";"VaultGet";"https://management.azure.com/subscriptions/9b491dd6-598e-498c-98a0-d3bbd2290821/resourceGroups/rg-hk01-eas-n-actq-keyvault01/providers/Microsoft.KeyVault/vaults/kv-hk01-eas-u-actq-vlt01?api-version=2018-02-14-preview";"OK";"";"200";"";"41";"True";"";"";"";"";""
"54.163.55.77";"KV-HK01-EAS-U-ACTQ-VLT01";"RG-HK01-EAS-N-ACTQ-KEYVAULT01";"/SUBSCRIPTIONS/9B491DD6-598E-498C-98A0-D3BBD2290821/RESOURCEGROUPS/RG-HK01-EAS-N-ACTQ-KEYVAULT01/PROVIDERS/MICROSOFT.KEYVAULT/VAULTS/KV-HK01-EAS-U-ACTQ-VLT01";"VAULTS";"Success";"KeyEncrypt";"https://kv-hk01-eas-u-actq-vlt01.vault.azure.net/keys/atlas-uat-key/07cd029b044347b9a98a723dde653ee1/encrypt?api-version=7.0";"OK";"Azure-SDK-For-Java/1.2.6 OS:Linux/3.10.0-1160.71.1.el7.x86_64 MacAddressHash:551a4af370223320f7a6a8e991b0cac905ca2ccbd3a9bde955bac683afd7681e Java:11.0.16.1 (KeyVaultClientBase, 7.0)";"200";"";"58";"True";"";"";"";"";""
"54.163.55.77";"KV-HK01-EAS-U-ACTQ-VLT01";"RG-HK01-EAS-N-ACTQ-KEYVAULT01";"/SUBSCRIPTIONS/9B491DD6-598E-498C-98A0-D3BBD2290821/RESOURCEGROUPS/RG-HK01-EAS-N-ACTQ-KEYVAULT01/PROVIDERS/MICROSOFT.KEYVAULT/VAULTS/KV-HK01-EAS-U-ACTQ-VLT01";"VAULTS";"Success";"KeyDecrypt";"https://kv-hk01-eas-u-actq-vlt01.vault.azure.net/keys/atlas-uat-key/07cd029b044347b9a98a723dde653ee1/decrypt?api-version=7.0";"OK";"Azure-SDK-For-Java/1.2.6 OS:Linux/3.10.0-1160.71.1.el7.x86_64 MacAddressHash:551a4af370223320f7a6a8e991b0cac905ca2ccbd3a9bde955bac683afd7681e Java:11.0.16.1 (KeyVaultClientBase, 7.0)";"200";"";"58";"True";"";"";"";"";""
"54.163.55.77";"KV-HK01-EAS-U-ACTQ-VLT01";"RG-HK01-EAS-N-ACTQ-KEYVAULT01";"/SUBSCRIPTIONS/9B491DD6-598E-498C-98A0-D3BBD2290821/RESOURCEGROUPS/RG-HK01-EAS-N-ACTQ-KEYVAULT01/PROVIDERS/MICROSOFT.KEYVAULT/VAULTS/KV-HK01-EAS-U-ACTQ-VLT01";"VAULTS";"Success";"VaultGet";"https://management.azure.com/subscriptions/9b491dd6-598e-498c-98a0-d3bbd2290821/resourceGroups/rg-hk01-eas-n-actq-keyvault01/providers/Microsoft.KeyVault/vaults/kv-hk01-eas-u-actq-vlt01?api-version=2018-02-14-preview";"OK";"";"200";"";"58";"True";"";"";"";"";""
"54.163.55.77";"KV-HK01-EAS-U-ACTQ-VLT01";"RG-HK01-EAS-N-ACTQ-KEYVAULT01";"/SUBSCRIPTIONS/9B491DD6-598E-498C-98A0-D3BBD2290821/RESOURCEGROUPS/RG-HK01-EAS-N-ACTQ-KEYVAULT01/PROVIDERS/MICROSOFT.KEYVAULT/VAULTS/KV-HK01-EAS-U-ACTQ-VLT01";"VAULTS";"Success";"KeyGet";"https://kv-hk01-eas-u-actq-vlt01.vault.azure.net/keys/atlas-uat-key/07cd029b044347b9a98a723dde653ee1?api-version=7.0";"OK";"Azure-SDK-For-Java/1.2.6 OS:Linux/3.10.0-1160.71.1.el7.x86_64 MacAddressHash:551a4af370223320f7a6a8e991b0cac905ca2ccbd3a9bde955bac683afd7681e Java:11.0.16.1 (KeyVaultClientBase, 7.0)";"200";"";"58";"True";"";"";"";"";""
"35.175.95.59";"KV-HK01-EAS-U-ACTQ-VLT01";"RG-HK01-EAS-N-ACTQ-KEYVAULT01";"/SUBSCRIPTIONS/9B491DD6-598E-498C-98A0-D3BBD2290821/RESOURCEGROUPS/RG-HK01-EAS-N-ACTQ-KEYVAULT01/PROVIDERS/MICROSOFT.KEYVAULT/VAULTS/KV-HK01-EAS-U-ACTQ-VLT01";"VAULTS";"Success";"VaultGet";"https://management.azure.com/subscriptions/9b491dd6-598e-498c-98a0-d3bbd2290821/resourceGroups/rg-hk01-eas-n-actq-keyvault01/providers/Microsoft.KeyVault/vaults/kv-hk01-eas-u-actq-vlt01?api-version=2018-02-14-preview";"OK";"";"200";"";"7";"True";"";"";"";"";""
"35.175.95.59";"KV-HK01-EAS-U-ACTQ-VLT01";"RG-HK01-EAS-N-ACTQ-KEYVAULT01";"/SUBSCRIPTIONS/9B491DD6-598E-498C-98A0-D3BBD2290821/RESOURCEGROUPS/RG-HK01-EAS-N-ACTQ-KEYVAULT01/PROVIDERS/MICROSOFT.KEYVAULT/VAULTS/KV-HK01-EAS-U-ACTQ-VLT01";"VAULTS";"Success";"KeyGet";"https://kv-hk01-eas-u-actq-vlt01.vault.azure.net/keys/atlas-uat-key/07cd029b044347b9a98a723dde653ee1?api-version=7.0";"OK";"Azure-SDK-For-Java/1.2.6 OS:Linux/3.10.0-1160.71.1.el7.x86_64 MacAddressHash:3a15e73e2259489732ae0bd021f88adc0e193311369b984a2f02170fcf9d1c21 Java:11.0.16.1 (KeyVaultClientBase, 7.0)";"200";"";"7";"True";"";"";"";"";""
"35.175.95.59";"KV-HK01-EAS-U-ACTQ-VLT01";"RG-HK01-EAS-N-ACTQ-KEYVAULT01";"/SUBSCRIPTIONS/9B491DD6-598E-498C-98A0-D3BBD2290821/RESOURCEGROUPS/RG-HK01-EAS-N-ACTQ-KEYVAULT01/PROVIDERS/MICROSOFT.KEYVAULT/VAULTS/KV-HK01-EAS-U-ACTQ-VLT01";"VAULTS";"Success";"KeyEncrypt";"https://kv-hk01-eas-u-actq-vlt01.vault.azure.net/keys/atlas-uat-key/07cd029b044347b9a98a723dde653ee1/encrypt?api-version=7.0";"OK";"Azure-SDK-For-Java/1.2.6 OS:Linux/3.10.0-1160.71.1.el7.x86_64 MacAddressHash:3a15e73e2259489732ae0bd021f88adc0e193311369b984a2f02170fcf9d1c21 Java:11.0.16.1 (KeyVaultClientBase, 7.0)";"200";"";"7";"True";"";"";"";"";""
"35.175.95.59";"KV-HK01-EAS-U-ACTQ-VLT01";"RG-HK01-EAS-N-ACTQ-KEYVAULT01";"/SUBSCRIPTIONS/9B491DD6-598E-498C-98A0-D3BBD2290821/RESOURCEGROUPS/RG-HK01-EAS-N-ACTQ-KEYVAULT01/PROVIDERS/MICROSOFT.KEYVAULT/VAULTS/KV-HK01-EAS-U-ACTQ-VLT01";"VAULTS";"Success";"KeyDecrypt";"https://kv-hk01-eas-u-actq-vlt01.vault.azure.net/keys/atlas-uat-key/07cd029b044347b9a98a723dde653ee1/decrypt?api-version=7.0";"OK";"Azure-SDK-For-Java/1.2.6 OS:Linux/3.10.0-1160.71.1.el7.x86_64 MacAddressHash:3a15e73e2259489732ae0bd021f88adc0e193311369b984a2f02170fcf9d1c21 Java:11.0.16.1 (KeyVaultClientBase, 7.0)";"200";"";"7";"True";"";"";"";"";""
"20.43.162.12";"KV-HK01-EAS-U-ACTQ-VLT01";"RG-HK01-EAS-N-ACTQ-KEYVAULT01";"/SUBSCRIPTIONS/9B491DD6-598E-498C-98A0-D3BBD2290821/RESOURCEGROUPS/RG-HK01-EAS-N-ACTQ-KEYVAULT01/PROVIDERS/MICROSOFT.KEYVAULT/VAULTS/KV-HK01-EAS-U-ACTQ-VLT01";"VAULTS";"Success";"VaultGet";"https://management.azure.com/subscriptions/9b491dd6-598e-498c-98a0-d3bbd2290821/resourceGroups/rg-hk01-eas-n-actq-keyvault01/providers/Microsoft.KeyVault/vaults/KV-HK01-EAS-U-ACTQ-VLT01?api-version=2018-02-14";"OK";"PolicyInsightsDataPlane-PRODSEA";"200";"";"5";"True";"";"";"";"";""
"34.194.7.70";"KV-HK01-EAS-U-ACTQ-VLT01";"RG-HK01-EAS-N-ACTQ-KEYVAULT01";"/SUBSCRIPTIONS/9B491DD6-598E-498C-98A0-D3BBD2290821/RESOURCEGROUPS/RG-HK01-EAS-N-ACTQ-KEYVAULT01/PROVIDERS/MICROSOFT.KEYVAULT/VAULTS/KV-HK01-EAS-U-ACTQ-VLT01";"VAULTS";"Success";"VaultGet";"https://management.azure.com/subscriptions/9b491dd6-598e-498c-98a0-d3bbd2290821/resourceGroups/rg-hk01-eas-n-actq-keyvault01/providers/Microsoft.KeyVault/vaults/kv-hk01-eas-u-actq-vlt01?api-version=2018-02-14-preview";"OK";"";"200";"";"7";"True";"";"";"";"";""
"34.194.7.70";"KV-HK01-EAS-U-ACTQ-VLT01";"RG-HK01-EAS-N-ACTQ-KEYVAULT01";"/SUBSCRIPTIONS/9B491DD6-598E-498C-98A0-D3BBD2290821/RESOURCEGROUPS/RG-HK01-EAS-N-ACTQ-KEYVAULT01/PROVIDERS/MICROSOFT.KEYVAULT/VAULTS/KV-HK01-EAS-U-ACTQ-VLT01";"VAULTS";"Success";"KeyEncrypt";"https://kv-hk01-eas-u-actq-vlt01.vault.azure.net/keys/atlas-uat-key/07cd029b044347b9a98a723dde653ee1/encrypt?api-version=7.0";"OK";"Azure-SDK-For-Java/1.2.6 OS:Linux/3.10.0-1160.71.1.el7.x86_64 MacAddressHash:f95d4c4292ffde93f7457053f498aa37a24fa7a6d1f80ec13768c27e1311b9d7 Java:11.0.16.1 (KeyVaultClientBase, 7.0)";"200";"";"7";"True";"";"";"";"";""
"34.194.7.70";"KV-HK01-EAS-U-ACTQ-VLT01";"RG-HK01-EAS-N-ACTQ-KEYVAULT01";"/SUBSCRIPTIONS/9B491DD6-598E-498C-98A0-D3BBD2290821/RESOURCEGROUPS/RG-HK01-EAS-N-ACTQ-KEYVAULT01/PROVIDERS/MICROSOFT.KEYVAULT/VAULTS/KV-HK01-EAS-U-ACTQ-VLT01";"VAULTS";"Success";"KeyDecrypt";"https://kv-hk01-eas-u-actq-vlt01.vault.azure.net/keys/atlas-uat-key/07cd029b044347b9a98a723dde653ee1/decrypt?api-version=7.0";"OK";"Azure-SDK-For-Java/1.2.6 OS:Linux/3.10.0-1160.71.1.el7.x86_64 MacAddressHash:f95d4c4292ffde93f7457053f498aa37a24fa7a6d1f80ec13768c27e1311b9d7 Java:11.0.16.1 (KeyVaultClientBase, 7.0)";"200";"";"7";"True";"";"";"";"";""
"34.194.7.70";"KV-HK01-EAS-U-ACTQ-VLT01";"RG-HK01-EAS-N-ACTQ-KEYVAULT01";"/SUBSCRIPTIONS/9B491DD6-598E-498C-98A0-D3BBD2290821/RESOURCEGROUPS/RG-HK01-EAS-N-ACTQ-KEYVAULT01/PROVIDERS/MICROSOFT.KEYVAULT/VAULTS/KV-HK01-EAS-U-ACTQ-VLT01";"VAULTS";"Success";"KeyGet";"https://kv-hk01-eas-u-actq-vlt01.vault.azure.net/keys/atlas-uat-key/07cd029b044347b9a98a723dde653ee1?api-version=7.0";"OK";"Azure-SDK-For-Java/1.2.6 OS:Linux/3.10.0-1160.71.1.el7.x86_64 MacAddressHash:f95d4c4292ffde93f7457053f498aa37a24fa7a6d1f80ec13768c27e1311b9d7 Java:11.0.16.1 (KeyVaultClientBase, 7.0)";"200";"";"7";"True";"";"";"";"";""
"18.223.141.221";"KV-HK01-EAS-U-ACTQ-VLT01";"RG-HK01-EAS-N-ACTQ-KEYVAULT01";"/SUBSCRIPTIONS/9B491DD6-598E-498C-98A0-D3BBD2290821/RESOURCEGROUPS/RG-HK01-EAS-N-ACTQ-KEYVAULT01/PROVIDERS/MICROSOFT.KEYVAULT/VAULTS/KV-HK01-EAS-U-ACTQ-VLT01";"VAULTS";"Success";"KeyList";"https://kv-hk01-eas-u-actq-vlt01.vault.azure.net/keys?api-version=7.2";"Forbidden";"Apache-HttpClient/4.5.13 (Java/11.0.15)";"403";"";"10";"True";"";"";"";"";""
"18.223.141.221";"KV-HK01-EAS-U-ACTQ-VLT01";"RG-HK01-EAS-N-ACTQ-KEYVAULT01";"/SUBSCRIPTIONS/9B491DD6-598E-498C-98A0-D3BBD2290821/RESOURCEGROUPS/RG-HK01-EAS-N-ACTQ-KEYVAULT01/PROVIDERS/MICROSOFT.KEYVAULT/VAULTS/KV-HK01-EAS-U-ACTQ-VLT01";"VAULTS";"Success";"SecretList";"https://kv-hk01-eas-u-actq-vlt01.vault.azure.net/secrets?api-version=7.2";"Forbidden";"Apache-HttpClient/4.5.13 (Java/11.0.15)";"403";"";"10";"True";"";"";"";"";""
"20.43.162.195";"KV-HK01-EAS-U-ACTQ-VLT01";"RG-HK01-EAS-N-ACTQ-KEYVAULT01";"/SUBSCRIPTIONS/9B491DD6-598E-498C-98A0-D3BBD2290821/RESOURCEGROUPS/RG-HK01-EAS-N-ACTQ-KEYVAULT01/PROVIDERS/MICROSOFT.KEYVAULT/VAULTS/KV-HK01-EAS-U-ACTQ-VLT01";"VAULTS";"Success";"VaultGet";"https://management.azure.com/subscriptions/9b491dd6-598e-498c-98a0-d3bbd2290821/resourceGroups/rg-hk01-eas-n-actq-keyvault01/providers/Microsoft.KeyVault/vaults/KV-HK01-EAS-U-ACTQ-VLT01?api-version=2018-02-14";"OK";"PolicyInsightsDataPlane-PRODSEA";"200";"";"5";"True";"";"";"";"";""
"165.225.234.193";"KV-HK01-EAS-U-ACTQ-VLT01";"RG-HK01-EAS-N-ACTQ-KEYVAULT01";"/SUBSCRIPTIONS/9B491DD6-598E-498C-98A0-D3BBD2290821/RESOURCEGROUPS/RG-HK01-EAS-N-ACTQ-KEYVAULT01/PROVIDERS/MICROSOFT.KEYVAULT/VAULTS/KV-HK01-EAS-U-ACTQ-VLT01";"VAULTS";"Success";"VaultGet";"https://management.azure.com/subscriptions/9b491dd6-598e-498c-98a0-d3bbd2290821/resourcegroups/rg-hk01-eas-n-actq-keyvault01/providers/Microsoft.KeyVault/vaults/kv-hk01-eas-u-actq-vlt01?api-version=2019-09-01";"OK";"azure-resource-manager/2.0";"200";"";"1";"True";"";"";"";"";""
"20.72.133.112";"KV-HK01-EAS-U-ACTQ-VLT01";"RG-HK01-EAS-N-ACTQ-KEYVAULT01";"/SUBSCRIPTIONS/9B491DD6-598E-498C-98A0-D3BBD2290821/RESOURCEGROUPS/RG-HK01-EAS-N-ACTQ-KEYVAULT01/PROVIDERS/MICROSOFT.KEYVAULT/VAULTS/KV-HK01-EAS-U-ACTQ-VLT01";"VAULTS";"Success";"VaultGet";"https://centralus.management.azure.com/subscriptions/9b491dd6-598e-498c-98a0-d3bbd2290821/resourceGroups/rg-hk01-eas-n-actq-keyvault01/providers/Microsoft.KeyVault/vaults/kv-hk01-eas-u-actq-vlt01?api-version=2022-07-01&MaskCMKEnabledProperties=true";"OK";"AzureResourceGraph.PartialSyncIngestionService.global/1.22.1.762";"200";"";"1";"True";"";"";"";"";""
"165.225.234.193";"KV-HK01-EAS-U-ACTQ-VLT01";"RG-HK01-EAS-N-ACTQ-KEYVAULT01";"/SUBSCRIPTIONS/9B491DD6-598E-498C-98A0-D3BBD2290821/RESOURCEGROUPS/RG-HK01-EAS-N-ACTQ-KEYVAULT01/PROVIDERS/MICROSOFT.KEYVAULT/VAULTS/KV-HK01-EAS-U-ACTQ-VLT01";"VAULTS";"Success";"VaultPatch";"https://management.azure.com/subscriptions/9b491dd6-598e-498c-98a0-d3bbd2290821/resourcegroups/rg-hk01-eas-n-actq-keyvault01/providers/Microsoft.KeyVault/vaults/kv-hk01-eas-u-actq-vlt01?api-version=2019-09-01";"OK";"FxVersion/6.0.522.21309";"200";"";"1";"True";"";"";"";"";""
